Date,Close/Last,Volume,Open,High,Low
06/24/2024,$30.57,40611790,$31.14,$31.42,$30.53
06/21/2024,$31.09,92549020,$30.85,$31.36,$30.6701
06/20/2024,$30.62,43826320,$30.555,$31.11,$30.45
06/18/2024,$30.63,33294750,$30.99,$31.47,$30.50
06/17/2024,$30.98,36235320,$30.34,$31.00,$30.18
06/14/2024,$30.45,28125890,$30.285,$30.56,$30.21
06/13/2024,$30.46,33787160,$30.38,$30.58,$30.14
06/12/2024,$30.76,51323940,$31.455,$31.48,$30.3899
06/11/2024,$30.92,25326850,$30.77,$31.03,$30.53
06/10/2024,$30.91,37445810,$30.55,$30.95,$30.285
06/07/2024,$30.74,34085530,$30.25,$30.78,$30.205
06/06/2024,$30.42,34248120,$30.552,$30.59,$30.16
06/05/2024,$30.78,44161660,$30.269,$30.835,$30.01
06/04/2024,$30.03,51027180,$30.75,$30.75,$29.94
06/03/2024,$30.29,35544900,$31.03,$31.065,$30.05
05/31/2024,$30.85,95797530,$30.22,$30.96,$29.94
05/30/2024,$30.19,33382760,$30.21,$30.50,$30.06
05/29/2024,$30.13,35848610,$30.465,$30.67,$30.105
05/28/2024,$31.06,36799150,$30.94,$31.3695,$30.655
05/24/2024,$30.72,42434490,$30.29,$31.02,$30.1301
05/23/2024,$30.08,62014550,$31.445,$31.57,$29.87
05/22/2024,$31.42,36706440,$31.91,$32.066,$31.095
05/21/2024,$31.74,42975360,$31.98,$32.24,$31.62
05/20/2024,$32.10,31989000,$31.85,$32.42,$31.76
05/17/2024,$31.83,41449780,$32.06,$32.11,$31.59
05/16/2024,$32.03,47752830,$31.63,$32.26,$31.52
05/15/2024,$31.27,36992930,$31.38,$31.40,$30.81
05/14/2024,$31.05,47759860,$30.62,$31.11,$30.61
05/13/2024,$30.51,51459140,$30.03,$31.13,$30.00
05/10/2024,$29.85,42931290,$30.33,$30.455,$29.84
05/09/2024,$30.09,45003400,$29.93,$30.385,$29.805
05/08/2024,$30.00,63734600,$30.00,$30.15,$29.73
05/07/2024,$30.68,44683400,$31.09,$31.45,$30.61
05/06/2024,$30.97,36185570,$31.115,$31.20,$30.73
05/03/2024,$30.90,36794830,$30.98,$31.055,$30.70
05/02/2024,$30.51,50899440,$30.59,$30.67,$30.19
05/01/2024,$30.37,60654760,$30.17,$31.035,$30.02
04/30/2024,$30.47,72346360,$31.04,$31.175,$30.42
04/29/2024,$31.36,58533260,$31.86,$31.91,$31.07
04/26/2024,$31.88,119742500,$31.78,$32.24,$30.64
04/25/2024,$35.11,66549400,$34.56,$35.295,$34.50
04/24/2024,$34.50,53261100,$34.86,$35.18,$34.34
04/23/2024,$34.28,46834040,$34.335,$34.60,$34.18
04/22/2024,$34.41,39909930,$34.415,$34.57,$34.075
04/19/2024,$34.20,59070310,$35.13,$35.13,$34.18
04/18/2024,$35.04,42334400,$35.42,$35.66,$34.77
04/17/2024,$35.68,41173350,$36.10,$36.1297,$35.37
04/16/2024,$36.26,30607500,$36.27,$36.51,$35.764
04/15/2024,$36.31,50751560,$36.04,$36.70,$35.89
04/12/2024,$35.69,80254790,$36.69,$36.70,$35.605
04/11/2024,$37.63,41909090,$37.43,$37.67,$37.08
04/10/2024,$37.20,51108380,$38.02,$38.2211,$37.02
04/09/2024,$38.33,78782980,$38.05,$38.58,$37.325
04/08/2024,$37.98,56967790,$38.64,$38.86,$37.91
04/05/2024,$38.71,67263040,$39.35,$39.46,$38.51
04/04/2024,$39.73,57307230,$40.59,$40.7798,$39.70
